Date,Russia_Total,Ukraine_Total,Russia_Destroyed,Ukraine_Destroyed,Russia_Damaged,Ukraine_Damaged,Russia_Abandoned,Ukraine_Abandoned,Russia_Captured,Ukraine_Captured,Russia_Tanks,Ukraine_Tanks,Russia_AFV,Ukraine_AFV,Russia_IFV,Ukraine_IFV,Russia_APC,Ukraine_APC,Russia_Artillery,Ukraine_Artillery,Russia_Aircraft,Ukraine_Aircraft,Russia_Vehicles,Ukraine_Vehicles,Russia_Antiair,Ukraine_Antiair,Russia_Engineering,Ukraine_Engineering,Russia_Logistics,Ukraine_Logistics,month
2022-03-24,35,19,17,12,2,5,5,0,11,2,3,1,8,0,2,4,1,0,5,2,0,0,12,8,0,2,1,0,1,0,2022-03
2022-03-25,71,6,45,2,1,0,0,0,25,4,15,3,12,0,18,0,5,0,2,1,1,1,8,1,0,0,5,0,5,0,2022-03
2022-03-26,31,17,20,3,0,0,1,0,10,14,3,2,7,0,9,2,0,2,3,3,0,0,5,0,0,2,3,5,3,5,2022-03
2022-03-27,99,17,49,16,2,0,3,0,45,1,12,0,12,1,14,0,1,0,4,4,1,0,37,6,1,0,5,1,6,1,2022-03
2022-03-28,33,0,19,0,1,0,0,0,13,0,8,0,3,0,4,0,2,0,0,0,0,0,11,0,0,0,1,0,1,0,2022-03
2022-03-29,66,4,37,4,0,0,3,0,26,0,22,0,8,0,15,0,1,0,2,0,2,0,10,1,0,0,3,0,4,0,2022-03
2022-03-30,26,46,20,33,3,1,0,0,5,12,7,1,3,2,3,3,1,0,6,3,1,3,0,14,1,15,1,0,1,0,2022-03
2022-03-31,36,32,24,21,0,1,1,0,11,10,5,9,1,2,21,7,0,2,0,0,0,1,2,4,1,0,2,2,2,2,2022-03
2022-04-01,131,3,70,2,0,0,0,0,62,1,36,0,19,0,28,2,0,0,3,0,4,0,15,0,2,0,3,0,4,0,2022-04
2022-04-02,8,1,3,1,0,0,1,0,4,0,3,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2022-04
2022-04-03,107,14,49,10,0,1,0,0,60,3,19,4,13,1,25,2,3,0,10,0,4,0,27,0,1,4,3,0,3,0,2022-04
2022-04-04,44,6,28,4,0,1,4,0,14,1,15,1,0,0,11,2,3,0,5,1,1,0,4,0,5,3,4,0,5,0,2022-04
2022-04-05,54,4,35,3,0,0,2,0,18,1,2,0,0,0,36,0,0,0,1,0,0,4,16,0,1,0,3,0,3,0,2022-04
2022-04-06,81,5,52,2,0,1,0,0,29,2,25,1,4,0,7,0,2,1,6,0,0,0,14,1,7,0,6,0,9,0,2022-04
2022-04-07,36,8,29,6,0,3,0,0,8,0,0,1,1,0,12,0,1,0,0,0,0,0,22,4,3,2,0,1,0,1,2022-04
2022-04-08,8,4,7,0,0,0,0,0,1,4,1,2,0,0,1,0,1,1,1,0,2,0,1,1,0,0,1,0,1,0,2022-04
2022-04-09,86,16,61,12,1,0,0,0,25,4,7,1,5,3,19,5,4,0,7,0,2,0,28,5,0,1,5,0,6,0,2022-04
2022-04-10,44,11,24,10,0,0,0,0,23,1,11,0,0,2,4,0,1,0,3,0,1,0,8,7,1,2,7,0,48,0,2022-04
2022-04-11,24,11,13,6,0,0,1,0,10,8,9,7,1,1,8,3,0,0,2,0,1,0,0,1,0,0,2,0,2,0,2022-04
2022-04-12,29,18,16,6,0,0,0,0,13,12,12,4,2,3,6,1,0,2,1,1,0,3,2,0,1,1,1,1,2,1,2022-04
2022-04-13,85,17,66,8,5,0,2,0,12,9,17,4,5,0,17,2,1,6,1,0,1,0,34,1,1,0,3,0,3,0,2022-04
2022-04-14,13,15,7,12,0,0,1,0,5,3,2,1,1,1,0,0,0,0,2,1,3,1,3,6,0,2,0,1,1,1,2022-04
2022-04-15,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2022-04
2022-04-16,18,23,3,11,0,0,1,0,14,13,0,11,15,0,1,2,0,5,0,2,0,1,1,0,0,0,1,1,1,1,2022-04
2022-04-17,43,9,19,6,0,0,1,0,23,3,5,1,25,1,2,1,0,1,1,0,3,0,5,5,0,0,2,0,2,0,2022-04
2022-04-18,32,14,11,3,2,0,5,1,14,10,9,0,3,0,9,0,4,1,0,0,2,2,2,7,0,1,1,0,1,0,2022-04
2022-04-19,5,7,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,3,0,0,1,0,0,0,0,0,0,2022-04
2022-04-20,47,23,29,5,2,0,0,0,17,19,6,7,5,4,25,2,0,3,0,0,2,0,7,4,1,0,1,0,1,0,2022-04
2022-04-21,36,8,20,6,0,0,0,0,17,2,6,3,3,0,4,1,0,1,0,0,6,0,15,1,0,0,1,0,1,0,2022-04
2022-04-22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-04
2022-04-23,46,4,18,3,4,0,10,0,14,1,12,0,1,0,15,2,1,0,3,0,3,0,1,0,0,0,3,0,5,0,2022-04
2022-04-24,29,3,16,2,1,0,6,0,6,1,8,0,3,3,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2022-04
2022-04-25,43,21,26,14,3,0,0,0,14,7,11,5,0,2,19,3,1,0,1,1,1,1,4,6,0,0,4,0,5,0,2022-04
2022-04-26,21,7,20,4,0,0,0,0,1,3,9,0,2,0,3,4,0,1,0,0,4,0,1,2,0,0,0,0,1,0,2022-04
2022-04-27,22,16,14,10,1,0,3,0,4,6,8,1,1,1,6,2,0,1,0,1,1,4,5,5,0,0,0,0,0,0,2022-04
2022-04-28,8,14,5,6,0,0,0,0,3,8,5,2,0,1,2,3,0,0,0,0,2,2,0,1,0,0,1,0,1,0,2022-04
2022-04-29,11,7,8,4,0,0,0,0,3,3,3,2,1,0,1,0,0,2,0,0,0,0,3,2,1,0,0,0,0,0,2022-04
2022-04-30,51,5,35,3,2,0,4,0,10,2,8,0,0,1,26,0,0,0,3,0,1,0,8,3,1,0,2,0,6,0,2022-04
2022-05-01,8,5,9,3,0,0,0,0,0,2,11,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-05
2022-05-02,23,10,19,3,1,0,0,0,3,7,0,0,2,0,1,1,2,2,0,0,1,0,6,2,1,4,0,0,0,0,2022-05
2022-05-03,32,11,21,4,0,0,0,0,11,7,0,4,3,0,9,0,2,0,0,0,4,0,10,8,1,0,1,0,2,0,2022-05
2022-05-04,43,5,34,2,4,0,0,0,5,3,5,0,14,0,6,0,1,0,1,3,2,0,13,2,0,0,1,0,1,0,2022-05
2022-05-05,28,4,23,1,1,0,0,0,6,3,3,0,8,0,8,2,0,0,0,0,2,0,8,0,0,0,0,0,1,0,2022-05
2022-05-06,26,5,23,0,1,1,0,0,2,4,17,2,2,1,11,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2022-05
2022-05-07,4,8,2,6,2,1,0,0,2,1,0,2,0,0,0,1,0,1,0,0,0,1,2,0,1,2,0,1,0,1,2022-05
2022-05-08,39,1,19,0,0,0,10,0,10,1,10,1,4,0,8,0,0,0,2,0,4,0,1,0,0,0,7,0,7,0,2022-05
2022-05-09,56,8,42,5,3,0,1,0,10,3,8,1,2,0,8,1,0,2,1,0,1,1,23,3,1,0,4,0,4,0,2022-05
2022-05-10,9,6,3,4,0,0,0,0,6,2,4,2,1,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2022-05
2022-05-11,44,6,34,5,1,0,0,0,9,1,17,3,11,0,1,0,0,0,4,0,2,2,6,1,0,0,0,0,0,0,2022-05
2022-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05
2022-05-13,36,19,21,7,3,0,7,0,5,12,6,0,5,0,11,5,0,2,3,1,3,0,7,4,0,0,1,0,1,2,2022-05
2022-05-14,16,5,7,2,0,0,3,0,6,3,1,3,4,0,5,0,0,1,0,0,0,0,2,1,0,0,2,0,3,0,2022-05
2022-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05
2022-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05
2022-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05
2022-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05
2022-05-19,6,1,1,1,0,0,5,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05
2022-05-20,28,11,20,4,0,1,2,0,6,6,11,6,3,0,5,2,0,0,0,2,3,0,1,0,3,0,0,0,1,0,2022-05
2022-05-21,23,6,20,4,0,0,0,0,3,2,3,2,1,2,7,1,1,0,2,0,2,1,2,0,1,0,0,0,1,0,2022-05
2022-05-22,62,6,42,5,1,0,2,0,17,1,6,5,14,0,17,1,1,0,3,0,9,1,11,1,0,0,0,0,0,0,2022-05
2022-05-23,121,2,111,2,0,0,0,0,10,0,3,0,8,0,2,0,0,0,0,0,1,2,104,0,0,0,0,0,1,0,2022-05
2022-05-24,118,0,102,0,0,0,2,0,14,0,2,0,5,0,7,0,1,0,0,0,0,0,102,0,0,0,2,0,2,0,2022-05
2022-05-25,67,6,52,6,0,0,11,0,4,0,22,1,4,0,30,0,0,0,0,1,2,0,0,3,0,0,5,0,6,0,2022-05
2022-05-26,46,-1,26,0,0,0,12,0,8,0,15,0,4,0,9,0,0,0,0,0,3,0,5,0,0,0,13,0,14,0,2022-05
2022-05-27,9,6,8,1,0,0,0,0,1,5,1,0,1,1,2,0,1,0,0,2,1,0,2,1,1,0,0,0,0,0,2022-05
2022-05-28,18,23,13,14,0,0,0,0,6,9,2,8,6,0,2,1,0,0,2,2,2,4,1,0,0,1,3,0,3,0,2022-05
2022-05-29,5,1,3,1,0,0,0,0,2,0,2,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2022-05
2022-05-30,9,10,7,4,0,0,0,0,2,7,3,1,0,0,9,7,0,1,0,3,0,0,1,0,0,0,0,0,0,0,2022-05
2022-05-31,4,4,4,2,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2022-05
